"","pilot_features","current_features"
“1”,”MIND_ID”,”MIND_ID"
"2","lh_bankssts_area","lh_bankssts_area"
"3","lh_caudalanteriorcingulate_area","lh_caudalanteriorcingulate_area"
"4","lh_caudalmiddlefrontal_area","lh_caudalmiddlefrontal_area"
"5","lh_cuneus_area","lh_cuneus_area"
"6","lh_entorhinal_area","lh_entorhinal_area"
"7","lh_fusiform_area","lh_fusiform_area"
"8","lh_inferiorparietal_area","lh_inferiorparietal_area"
"9","lh_inferiortemporal_area","lh_inferiortemporal_area"
"10","lh_isthmuscingulate_area","lh_isthmuscingulate_area"
"11","lh_lateraloccipital_area","lh_lateraloccipital_area"
"12","lh_lateralorbitofrontal_area","lh_lateralorbitofrontal_area"
"13","lh_lingual_area","lh_lingual_area"
"14","lh_medialorbitofrontal_area","lh_medialorbitofrontal_area"
"15","lh_middletemporal_area","lh_middletemporal_area"
"16","lh_parahippocampal_area","lh_parahippocampal_area"
"17","lh_paracentral_area","lh_paracentral_area"
"18","lh_parsopercularis_area","lh_parsopercularis_area"
"19","lh_parsorbitalis_area","lh_parsorbitalis_area"
"20","lh_parstriangularis_area","lh_parstriangularis_area"
"21","lh_pericalcarine_area","lh_pericalcarine_area"
"22","lh_postcentral_area","lh_postcentral_area"
"23","lh_posteriorcingulate_area","lh_posteriorcingulate_area"
"24","lh_precentral_area","lh_precentral_area"
"25","lh_precuneus_area","lh_precuneus_area"
"26","lh_rostralanteriorcingulate_area","lh_rostralanteriorcingulate_area"
"27","lh_rostralmiddlefrontal_area","lh_rostralmiddlefrontal_area"
"28","lh_superiorfrontal_area","lh_superiorfrontal_area"
"29","lh_superiorparietal_area","lh_superiorparietal_area"
"30","lh_superiortemporal_area","lh_superiortemporal_area"
"31","lh_supramarginal_area","lh_supramarginal_area"
"32","lh_frontalpole_area","lh_frontalpole_area"
"33","lh_temporalpole_area","lh_temporalpole_area"
"34","lh_transversetemporal_area","lh_transversetemporal_area"
"35","lh_insula_area","lh_insula_area"
"36","lh_WhiteSurfArea_area","lh_WhiteSurfArea_area"
"37","lh_bankssts_thickness","lh_bankssts_curvind"
"38","lh_caudalanteriorcingulate_thickness","lh_caudalanteriorcingulate_curvind"
"39","lh_caudalmiddlefrontal_thickness","lh_caudalmiddlefrontal_curvind"
"40","lh_cuneus_thickness","lh_cuneus_curvind"
"41","lh_entorhinal_thickness","lh_entorhinal_curvind"
"42","lh_fusiform_thickness","lh_fusiform_curvind"
"43","lh_inferiorparietal_thickness","lh_inferiorparietal_curvind"
"44","lh_inferiortemporal_thickness","lh_inferiortemporal_curvind"
"45","lh_isthmuscingulate_thickness","lh_isthmuscingulate_curvind"
"46","lh_lateraloccipital_thickness","lh_lateraloccipital_curvind"
"47","lh_lateralorbitofrontal_thickness","lh_lateralorbitofrontal_curvind"
"48","lh_lingual_thickness","lh_lingual_curvind"
"49","lh_medialorbitofrontal_thickness","lh_medialorbitofrontal_curvind"
"50","lh_middletemporal_thickness","lh_middletemporal_curvind"
"51","lh_parahippocampal_thickness","lh_parahippocampal_curvind"
"52","lh_paracentral_thickness","lh_paracentral_curvind"
"53","lh_parsopercularis_thickness","lh_parsopercularis_curvind"
"54","lh_parsorbitalis_thickness","lh_parsorbitalis_curvind"
"55","lh_parstriangularis_thickness","lh_parstriangularis_curvind"
"56","lh_pericalcarine_thickness","lh_pericalcarine_curvind"
"57","lh_postcentral_thickness","lh_postcentral_curvind"
"58","lh_posteriorcingulate_thickness","lh_posteriorcingulate_curvind"
"59","lh_precentral_thickness","lh_precentral_curvind"
"60","lh_precuneus_thickness","lh_precuneus_curvind"
"61","lh_rostralanteriorcingulate_thickness","lh_rostralanteriorcingulate_curvind"
"62","lh_rostralmiddlefrontal_thickness","lh_rostralmiddlefrontal_curvind"
"63","lh_superiorfrontal_thickness","lh_superiorfrontal_curvind"
"64","lh_superiorparietal_thickness","lh_superiorparietal_curvind"
"65","lh_superiortemporal_thickness","lh_superiortemporal_curvind"
"66","lh_supramarginal_thickness","lh_supramarginal_curvind"
"67","lh_frontalpole_thickness","lh_frontalpole_curvind"
"68","lh_temporalpole_thickness","lh_temporalpole_curvind"
"69","lh_transversetemporal_thickness","lh_transversetemporal_curvind"
"70","lh_insula_thickness","lh_insula_curvind"
"71","lh_MeanThickness_thickness","lh_bankssts_foldind"
"72","lh_bankssts_volume","lh_caudalanteriorcingulate_foldind"
"73","lh_caudalanteriorcingulate_volume","lh_caudalmiddlefrontal_foldind"
"74","lh_caudalmiddlefrontal_volume","lh_cuneus_foldind"
"75","lh_cuneus_volume","lh_entorhinal_foldind"
"76","lh_entorhinal_volume","lh_fusiform_foldind"
"77","lh_fusiform_volume","lh_inferiorparietal_foldind"
"78","lh_inferiorparietal_volume","lh_inferiortemporal_foldind"
"79","lh_inferiortemporal_volume","lh_isthmuscingulate_foldind"
"80","lh_isthmuscingulate_volume","lh_lateraloccipital_foldind"
"81","lh_lateraloccipital_volume","lh_lateralorbitofrontal_foldind"
"82","lh_lateralorbitofrontal_volume","lh_lingual_foldind"
"83","lh_lingual_volume","lh_medialorbitofrontal_foldind"
"84","lh_medialorbitofrontal_volume","lh_middletemporal_foldind"
"85","lh_middletemporal_volume","lh_parahippocampal_foldind"
"86","lh_parahippocampal_volume","lh_paracentral_foldind"
"87","lh_paracentral_volume","lh_parsopercularis_foldind"
"88","lh_parsopercularis_volume","lh_parsorbitalis_foldind"
"89","lh_parsorbitalis_volume","lh_parstriangularis_foldind"
"90","lh_parstriangularis_volume","lh_pericalcarine_foldind"
"91","lh_pericalcarine_volume","lh_postcentral_foldind"
"92","lh_postcentral_volume","lh_posteriorcingulate_foldind"
"93","lh_posteriorcingulate_volume","lh_precentral_foldind"
"94","lh_precentral_volume","lh_precuneus_foldind"
"95","lh_precuneus_volume","lh_rostralanteriorcingulate_foldind"
"96","lh_rostralanteriorcingulate_volume","lh_rostralmiddlefrontal_foldind"
"97","lh_rostralmiddlefrontal_volume","lh_superiorfrontal_foldind"
"98","lh_superiorfrontal_volume","lh_superiorparietal_foldind"
"99","lh_superiorparietal_volume","lh_superiortemporal_foldind"
"100","lh_superiortemporal_volume","lh_supramarginal_foldind"
"101","lh_supramarginal_volume","lh_frontalpole_foldind"
"102","lh_frontalpole_volume","lh_temporalpole_foldind"
"103","lh_temporalpole_volume","lh_transversetemporal_foldind"
"104","lh_transversetemporal_volume","lh_insula_foldind"
"105","lh_insula_volume","lh_bankssts_gauscurv"
"106","rh_bankssts_area","lh_caudalanteriorcingulate_gauscurv"
"107","rh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_gauscurv"
"108","rh_caudalmiddlefrontal_area","lh_cuneus_gauscurv"
"109","rh_cuneus_area","lh_entorhinal_gauscurv"
"110","rh_entorhinal_area","lh_fusiform_gauscurv"
"111","rh_fusiform_area","lh_inferiorparietal_gauscurv"
"112","rh_inferiorparietal_area","lh_inferiortemporal_gauscurv"
"113","rh_inferiortemporal_area","lh_isthmuscingulate_gauscurv"
"114","rh_isthmuscingulate_area","lh_lateraloccipital_gauscurv"
"115","rh_lateraloccipital_area","lh_lateralorbitofrontal_gauscurv"
"116","rh_lateralorbitofrontal_area","lh_lingual_gauscurv"
"117","rh_lingual_area","lh_medialorbitofrontal_gauscurv"
"118","rh_medialorbitofrontal_area","lh_middletemporal_gauscurv"
"119","rh_middletemporal_area","lh_parahippocampal_gauscurv"
"120","rh_parahippocampal_area","lh_paracentral_gauscurv"
"121","rh_paracentral_area","lh_parsopercularis_gauscurv"
"122","rh_parsopercularis_area","lh_parsorbitalis_gauscurv"
"123","rh_parsorbitalis_area","lh_parstriangularis_gauscurv"
"124","rh_parstriangularis_area","lh_pericalcarine_gauscurv"
"125","rh_pericalcarine_area","lh_postcentral_gauscurv"
"126","rh_postcentral_area","lh_posteriorcingulate_gauscurv"
"127","rh_posteriorcingulate_area","lh_precentral_gauscurv"
"128","rh_precentral_area","lh_precuneus_gauscurv"
"129","rh_precuneus_area","lh_rostralanteriorcingulate_gauscurv"
"130","rh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_gauscurv"
"131","rh_rostralmiddlefrontal_area","lh_superiorfrontal_gauscurv"
"132","rh_superiorfrontal_area","lh_superiorparietal_gauscurv"
"133","rh_superiorparietal_area","lh_superiortemporal_gauscurv"
"134","rh_superiortemporal_area","lh_supramarginal_gauscurv"
"135","rh_supramarginal_area","lh_frontalpole_gauscurv"
"136","rh_frontalpole_area","lh_temporalpole_gauscurv"
"137","rh_temporalpole_area","lh_transversetemporal_gauscurv"
"138","rh_transversetemporal_area","lh_insula_gauscurv"
"139","rh_insula_area","lh_bankssts_meancurv"
"140","rh_WhiteSurfArea_area","lh_caudalanteriorcingulate_meancurv"
"141","rh_bankssts_thickness","lh_caudalmiddlefrontal_meancurv"
"142","rh_caudalanteriorcingulate_thickness","lh_cuneus_meancurv"
"143","rh_caudalmiddlefrontal_thickness","lh_entorhinal_meancurv"
"144","rh_cuneus_thickness","lh_fusiform_meancurv"
"145","rh_entorhinal_thickness","lh_inferiorparietal_meancurv"
"146","rh_fusiform_thickness","lh_inferiortemporal_meancurv"
"147","rh_inferiorparietal_thickness","lh_isthmuscingulate_meancurv"
"148","rh_inferiortemporal_thickness","lh_lateraloccipital_meancurv"
"149","rh_isthmuscingulate_thickness","lh_lateralorbitofrontal_meancurv"
"150","rh_lateraloccipital_thickness","lh_lingual_meancurv"
"151","rh_lateralorbitofrontal_thickness","lh_medialorbitofrontal_meancurv"
"152","rh_lingual_thickness","lh_middletemporal_meancurv"
"153","rh_medialorbitofrontal_thickness","lh_parahippocampal_meancurv"
"154","rh_middletemporal_thickness","lh_paracentral_meancurv"
"155","rh_parahippocampal_thickness","lh_parsopercularis_meancurv"
"156","rh_paracentral_thickness","lh_parsorbitalis_meancurv"
"157","rh_parsopercularis_thickness","lh_parstriangularis_meancurv"
"158","rh_parsorbitalis_thickness","lh_pericalcarine_meancurv"
"159","rh_parstriangularis_thickness","lh_postcentral_meancurv"
"160","rh_pericalcarine_thickness","lh_posteriorcingulate_meancurv"
"161","rh_postcentral_thickness","lh_precentral_meancurv"
"162","rh_posteriorcingulate_thickness","lh_precuneus_meancurv"
"163","rh_precentral_thickness","lh_rostralanteriorcingulate_meancurv"
"164","rh_precuneus_thickness","lh_rostralmiddlefrontal_meancurv"
"165","rh_rostralanteriorcingulate_thickness","lh_superiorfrontal_meancurv"
"166","rh_rostralmiddlefrontal_thickness","lh_superiorparietal_meancurv"
"167","rh_superiorfrontal_thickness","lh_superiortemporal_meancurv"
"168","rh_superiorparietal_thickness","lh_supramarginal_meancurv"
"169","rh_superiortemporal_thickness","lh_frontalpole_meancurv"
"170","rh_supramarginal_thickness","lh_temporalpole_meancurv"
"171","rh_frontalpole_thickness","lh_transversetemporal_meancurv"
"172","rh_temporalpole_thickness","lh_insula_meancurv"
"173","rh_transversetemporal_thickness","lh_bankssts_thickness"
"174","rh_insula_thickness","lh_caudalanteriorcingulate_thickness"
"175","rh_MeanThickness_thickness","lh_caudalmiddlefrontal_thickness"
"176","rh_bankssts_volume","lh_cuneus_thickness"
"177","rh_caudalanteriorcingulate_volume","lh_entorhinal_thickness"
"178","rh_caudalmiddlefrontal_volume","lh_fusiform_thickness"
"179","rh_cuneus_volume","lh_inferiorparietal_thickness"
"180","rh_entorhinal_volume","lh_inferiortemporal_thickness"
"181","rh_fusiform_volume","lh_isthmuscingulate_thickness"
"182","rh_inferiorparietal_volume","lh_lateraloccipital_thickness"
"183","rh_inferiortemporal_volume","lh_lateralorbitofrontal_thickness"
"184","rh_isthmuscingulate_volume","lh_lingual_thickness"
"185","rh_lateraloccipital_volume","lh_medialorbitofrontal_thickness"
"186","rh_lateralorbitofrontal_volume","lh_middletemporal_thickness"
"187","rh_lingual_volume","lh_parahippocampal_thickness"
"188","rh_medialorbitofrontal_volume","lh_paracentral_thickness"
"189","rh_middletemporal_volume","lh_parsopercularis_thickness"
"190","rh_parahippocampal_volume","lh_parsorbitalis_thickness"
"191","rh_paracentral_volume","lh_parstriangularis_thickness"
"192","rh_parsopercularis_volume","lh_pericalcarine_thickness"
"193","rh_parsorbitalis_volume","lh_postcentral_thickness"
"194","rh_parstriangularis_volume","lh_posteriorcingulate_thickness"
"195","rh_pericalcarine_volume","lh_precentral_thickness"
"196","rh_postcentral_volume","lh_precuneus_thickness"
"197","rh_posteriorcingulate_volume","lh_rostralanteriorcingulate_thickness"
"198","rh_precentral_volume","lh_rostralmiddlefrontal_thickness"
"199","rh_precuneus_volume","lh_superiorfrontal_thickness"
"200","rh_rostralanteriorcingulate_volume","lh_superiorparietal_thickness"
"201","rh_rostralmiddlefrontal_volume","lh_superiortemporal_thickness"
"202","rh_superiorfrontal_volume","lh_supramarginal_thickness"
"203","rh_superiorparietal_volume","lh_frontalpole_thickness"
"204","rh_superiortemporal_volume","lh_temporalpole_thickness"
"205","rh_supramarginal_volume","lh_transversetemporal_thickness"
"206","rh_frontalpole_volume","lh_insula_thickness"
"207","rh_temporalpole_volume","lh_MeanThickness_thickness"
"208","rh_transversetemporal_volume","lh_bankssts_thicknessstd"
"209","rh_insula_volume","lh_caudalanteriorcingulate_thicknessstd"
"210","Left.Lateral.Ventricle","lh_caudalmiddlefrontal_thicknessstd"
"211","Left.Inf.Lat.Vent","lh_cuneus_thicknessstd"
"212","Left.Cerebellum.White.Matter","lh_entorhinal_thicknessstd"
"213","Left.Cerebellum.Cortex","lh_fusiform_thicknessstd"
"214","Left.Thalamus.Proper","lh_inferiorparietal_thicknessstd"
"215","Left.Caudate","lh_inferiortemporal_thicknessstd"
"216","Left.Putamen","lh_isthmuscingulate_thicknessstd"
"217","Left.Pallidum","lh_lateraloccipital_thicknessstd"
"218","X3rd.Ventricle","lh_lateralorbitofrontal_thicknessstd"
"219","X4th.Ventricle","lh_lingual_thicknessstd"
"220","Brain.Stem","lh_medialorbitofrontal_thicknessstd"
"221","Left.Hippocampus","lh_middletemporal_thicknessstd"
"222","Left.Amygdala","lh_parahippocampal_thicknessstd"
"223","CSF","lh_paracentral_thicknessstd"
"224","Left.Accumbens.area","lh_parsopercularis_thicknessstd"
"225","Left.VentralDC","lh_parsorbitalis_thicknessstd"
"226","Left.vessel","lh_parstriangularis_thicknessstd"
"227","Left.choroid.plexus","lh_pericalcarine_thicknessstd"
"228","Right.Lateral.Ventricle","lh_postcentral_thicknessstd"
"229","Right.Inf.Lat.Vent","lh_posteriorcingulate_thicknessstd"
"230","Right.Cerebellum.White.Matter","lh_precentral_thicknessstd"
"231","Right.Cerebellum.Cortex","lh_precuneus_thicknessstd"
"232","Right.Thalamus.Proper","lh_rostralanteriorcingulate_thicknessstd"
"233","Right.Caudate","lh_rostralmiddlefrontal_thicknessstd"
"234","Right.Putamen","lh_superiorfrontal_thicknessstd"
"235","Right.Pallidum","lh_superiorparietal_thicknessstd"
"236","Right.Hippocampus","lh_superiortemporal_thicknessstd"
"237","Right.Amygdala","lh_supramarginal_thicknessstd"
"238","Right.Accumbens.area","lh_frontalpole_thicknessstd"
"239","Right.VentralDC","lh_temporalpole_thicknessstd"
"240","Right.vessel","lh_transversetemporal_thicknessstd"
"241","Right.choroid.plexus","lh_insula_thicknessstd"
"242","X5th.Ventricle","lh_bankssts_volume"
"243","WM.hypointensities","lh_caudalanteriorcingulate_volume"
"244","Left.WM.hypointensities","lh_caudalmiddlefrontal_volume"
"245","Right.WM.hypointensities","lh_cuneus_volume"
"246","non.WM.hypointensities","lh_entorhinal_volume"
"247","Left.non.WM.hypointensities","lh_fusiform_volume"
"248","Right.non.WM.hypointensities","lh_inferiorparietal_volume"
"249","Optic.Chiasm","lh_inferiortemporal_volume"
"250","CC_Posterior","lh_isthmuscingulate_volume"
"251","CC_Mid_Posterior","lh_lateraloccipital_volume"
"252","CC_Central","lh_lateralorbitofrontal_volume"
"253","CC_Mid_Anterior","lh_lingual_volume"
"254","CC_Anterior","lh_medialorbitofrontal_volume"
"255","Left.Lateral.Ventricle","lh_middletemporal_volume"
"256","Left.Inf.Lat.Vent","lh_parahippocampal_volume"
"257","Left.Cerebellum.White.Matter","lh_paracentral_volume"
"258","Left.Cerebellum.Cortex","lh_parsopercularis_volume"
"259","Left.Thalamus.Proper","lh_parsorbitalis_volume"
"260","Left.Caudate","lh_parstriangularis_volume"
"261","Left.Putamen","lh_pericalcarine_volume"
"262","Left.Pallidum","lh_postcentral_volume"
"263","X3rd.Ventricle","lh_posteriorcingulate_volume"
"264","X4th.Ventricle","lh_precentral_volume"
