"","s0"
"lh_bankssts_area",0
"lh_caudalanteriorcingulate_area",0
"lh_caudalmiddlefrontal_area",0
"lh_cuneus_area",0
"lh_entorhinal_area",0
"lh_fusiform_area",0.0628535667060382
"lh_inferiorparietal_area",0
"lh_inferiortemporal_area",0.287368349129871
"lh_isthmuscingulate_area",0
"lh_lateraloccipital_area",-1.32632311692323
"lh_lateralorbitofrontal_area",-0.183141356060564
"lh_lingual_area",-0.35431161417236
"lh_medialorbitofrontal_area",0
"lh_middletemporal_area",0
"lh_parahippocampal_area",0.340212611002832
"lh_paracentral_area",0
"lh_parsopercularis_area",-0.154538885855288
"lh_parsorbitalis_area",0
"lh_parstriangularis_area",0
"lh_pericalcarine_area",-0.324994320929348
"lh_postcentral_area",-0.0543502371959351
"lh_posteriorcingulate_area",0.027437379397872
"lh_precentral_area",0
"lh_precuneus_area",0
"lh_rostralanteriorcingulate_area",0
"lh_rostralmiddlefrontal_area",0
"lh_superiorfrontal_area",0
"lh_superiorparietal_area",-1.06356702983317
"lh_superiortemporal_area",-0.147407552157056
"lh_supramarginal_area",0
"lh_frontalpole_area",0.620521437899983
"lh_temporalpole_area",0.729669243903086
"lh_transversetemporal_area",0.216492287939106
"lh_insula_area",0
"lh_WhiteSurfArea_area",0
"lh_bankssts_thickness",0.775965131760772
"lh_caudalanteriorcingulate_thickness",-0.167633854269136
"lh_caudalmiddlefrontal_thickness",0.757822294064237
"lh_cuneus_thickness",0
"lh_entorhinal_thickness",0.0921379309505971
"lh_fusiform_thickness",0.66841785500563
"lh_inferiorparietal_thickness",-1.26204217168763
"lh_inferiortemporal_thickness",-0.718272782133117
"lh_isthmuscingulate_thickness",0
"lh_lateraloccipital_thickness",-0.52915895955343
"lh_lateralorbitofrontal_thickness",0
"lh_lingual_thickness",0
"lh_medialorbitofrontal_thickness",0
"lh_middletemporal_thickness",0.506075347685442
"lh_parahippocampal_thickness",0
"lh_paracentral_thickness",0
"lh_parsopercularis_thickness",0.145401155747376
"lh_parsorbitalis_thickness",-0.163869200465922
"lh_parstriangularis_thickness",0
"lh_pericalcarine_thickness",0.714336166636887
"lh_postcentral_thickness",-0.477261779991686
"lh_posteriorcingulate_thickness",-0.267547044571653
"lh_precentral_thickness",0
"lh_precuneus_thickness",0.739693238202125
"lh_rostralanteriorcingulate_thickness",-0.759287793024643
"lh_rostralmiddlefrontal_thickness",0
"lh_superiorfrontal_thickness",-0.0171786696333953
"lh_superiorparietal_thickness",-1.09574990388397
"lh_superiortemporal_thickness",0
"lh_supramarginal_thickness",-2.56179078550749
"lh_frontalpole_thickness",0
"lh_temporalpole_thickness",-0.130125543729292
"lh_transversetemporal_thickness",0
"lh_insula_thickness",0
"lh_MeanThickness_thickness",0
"lh_bankssts_volume",-0.348054304887727
"lh_caudalanteriorcingulate_volume",0
"lh_caudalmiddlefrontal_volume",0
"lh_cuneus_volume",0.513991074604272
"lh_entorhinal_volume",0.483618120760441
"lh_fusiform_volume",0
"lh_inferiorparietal_volume",-0.368850387380901
"lh_inferiortemporal_volume",0
"lh_isthmuscingulate_volume",0
"lh_lateraloccipital_volume",0
"lh_lateralorbitofrontal_volume",0
"lh_lingual_volume",-0.989166518504364
"lh_medialorbitofrontal_volume",0
"lh_middletemporal_volume",0.377296242687435
"lh_parahippocampal_volume",-0.848444784126844
"lh_paracentral_volume",0
"lh_parsopercularis_volume",0
"lh_parsorbitalis_volume",-0.0221531226059232
"lh_parstriangularis_volume",-0.864187029748872
"lh_pericalcarine_volume",-0.582765511621072
"lh_postcentral_volume",0
"lh_posteriorcingulate_volume",0
"lh_precentral_volume",0.722630414901448
"lh_precuneus_volume",0
"lh_rostralanteriorcingulate_volume",0.403344906665219
"lh_rostralmiddlefrontal_volume",0
"lh_superiorfrontal_volume",0
"lh_superiorparietal_volume",0
"lh_superiortemporal_volume",0
"lh_supramarginal_volume",0
"lh_frontalpole_volume",0
"lh_temporalpole_volume",0
"lh_transversetemporal_volume",0
"lh_insula_volume",0
"Left.Lateral.Ventricle.x",1.50641639006944
"Left.Inf.Lat.Vent.x",-1.15641496334582
"Left.Cerebellum.White.Matter.x",-1.20215504003553
"Left.Cerebellum.Cortex.x",-0.423748958840983
"Left.Thalamus.Proper.x",0
"Left.Caudate.x",0.33431072850103
"Left.Putamen.x",0
"Left.Pallidum.x",0.026050771515553
"X3rd.Ventricle.x",0.452900057338591
"X4th.Ventricle.x",0.8774793511701
"Brain.Stem.x",0.184918862339729
"Left.Hippocampus.x",0.292384173481628
"Left.Amygdala.x",1.05143157271226
"CSF.x",-0.0857522246929177
"Left.Accumbens.area.x",-2.02160421253494
"Left.VentralDC.x",1.04195694682119
"Left.vessel.x",-0.624253132471539
"Left.choroid.plexus.x",0
"Right.Lateral.Ventricle.x",0
"Right.Inf.Lat.Vent.x",1.08380696919163
"Right.Cerebellum.White.Matter.x",0.817135586286843
"Right.Cerebellum.Cortex.x",0.927408552332698
"Right.Thalamus.Proper.x",-0.335185663873523
"Right.Caudate.x",0
"Right.Putamen.x",0
"Right.Pallidum.x",-0.776981402273911
"Right.Hippocampus.x",-2.52492622120386
"Right.Amygdala.x",-1.12272074229602
"Right.Accumbens.area.x",0.323759563415065
"Right.VentralDC.x",1.46541966130492
"Right.vessel.x",0.670710226624961
"Right.choroid.plexus.x",-0.387091035947905
"X5th.Ventricle.x",0.438393749591122
"WM.hypointensities.x",-0.458456315594236
"non.WM.hypointensities.x",0.62240659607882
"Optic.Chiasm.x",-0.18094788956001
"CC_Posterior.x",0.263826437843443
"CC_Mid_Posterior.x",-0.724000167754353
"CC_Central.x",1.13270626965624
"CC_Mid_Anterior.x",-0.286928725245787
"CC_Anterior.x",-0.0342368504210651
"rh_bankssts_area",0.61255664678039
"rh_caudalanteriorcingulate_area",0
"rh_caudalmiddlefrontal_area",0
"rh_cuneus_area",-1.11448320557186
"rh_entorhinal_area",0
"rh_fusiform_area",0
"rh_inferiorparietal_area",0
"rh_inferiortemporal_area",0
"rh_isthmuscingulate_area",0
"rh_lateraloccipital_area",0
"rh_lateralorbitofrontal_area",0
"rh_lingual_area",0
"rh_medialorbitofrontal_area",-0.272230220220919
"rh_middletemporal_area",0
"rh_parahippocampal_area",0
"rh_paracentral_area",-0.450524841320551
"rh_parsopercularis_area",0.211269308722061
"rh_parsorbitalis_area",0
"rh_parstriangularis_area",0.546670748026329
"rh_pericalcarine_area",0
"rh_postcentral_area",0.318380542909096
"rh_posteriorcingulate_area",0.670737354641073
"rh_precentral_area",0
"rh_precuneus_area",0
"rh_rostralanteriorcingulate_area",1.39978025490721
"rh_rostralmiddlefrontal_area",-0.987860035740748
"rh_superiorfrontal_area",0
"rh_superiorparietal_area",0
"rh_superiortemporal_area",-0.444885947929905
"rh_supramarginal_area",-0.0580382414333786
"rh_frontalpole_area",0
"rh_temporalpole_area",0.383034398703342
"rh_transversetemporal_area",0
"rh_insula_area",0.398127141701895
"rh_WhiteSurfArea_area",0
"rh_bankssts_thickness",-0.713052222678848
"rh_caudalanteriorcingulate_thickness",-0.740553058339208
"rh_caudalmiddlefrontal_thickness",0
"rh_cuneus_thickness",-0.653796878571467
"rh_entorhinal_thickness",0.33987369424026
"rh_fusiform_thickness",0.332149943932098
"rh_inferiorparietal_thickness",0.66930806959222
"rh_inferiortemporal_thickness",0
"rh_isthmuscingulate_thickness",1.2249604740091
"rh_lateraloccipital_thickness",0.835466714417501
"rh_lateralorbitofrontal_thickness",0.519256241886057
"rh_lingual_thickness",-1.45331552120439
"rh_medialorbitofrontal_thickness",0
"rh_middletemporal_thickness",-1.52388290716047
"rh_parahippocampal_thickness",0.474838622488441
"rh_paracentral_thickness",-0.39557679935116
"rh_parsopercularis_thickness",0
"rh_parsorbitalis_thickness",0
"rh_parstriangularis_thickness",0
"rh_pericalcarine_thickness",0.634689407208685
"rh_postcentral_thickness",0.100638254281703
"rh_posteriorcingulate_thickness",-0.842908193974935
"rh_precentral_thickness",0
"rh_precuneus_thickness",0.394100782067016
"rh_rostralanteriorcingulate_thickness",0.716584316181443
"rh_rostralmiddlefrontal_thickness",0.42303414891168
"rh_superiorfrontal_thickness",0
"rh_superiorparietal_thickness",-0.404641542972455
"rh_superiortemporal_thickness",0.686813526951365
"rh_supramarginal_thickness",2.93355188752029
"rh_frontalpole_thickness",-0.409015962457133
"rh_temporalpole_thickness",0.168964380759364
"rh_transversetemporal_thickness",0.433357633415355
"rh_insula_thickness",0
"rh_MeanThickness_thickness",0
"rh_bankssts_volume",0
"rh_caudalanteriorcingulate_volume",0
"rh_caudalmiddlefrontal_volume",-0.434637040041226
"rh_cuneus_volume",0
"rh_entorhinal_volume",0.936065809285759
"rh_fusiform_volume",1.84977595934947
"rh_inferiorparietal_volume",0
"rh_inferiortemporal_volume",0.214399511960688
"rh_isthmuscingulate_volume",-0.958583944687673
"rh_lateraloccipital_volume",0.830584690889381
"rh_lateralorbitofrontal_volume",-0.0950355566608986
"rh_lingual_volume",0.741784230207328
"rh_medialorbitofrontal_volume",0
"rh_middletemporal_volume",-0.101373808529051
"rh_parahippocampal_volume",0.382944742899623
"rh_paracentral_volume",-0.0450262934460644
"rh_parsopercularis_volume",0.00324471894506105
"rh_parsorbitalis_volume",-1.23873246371359
"rh_parstriangularis_volume",0
"rh_pericalcarine_volume",0
"rh_postcentral_volume",0
"rh_posteriorcingulate_volume",0
"rh_precentral_volume",-0.34709648075499
"rh_precuneus_volume",0
"rh_rostralanteriorcingulate_volume",0
"rh_rostralmiddlefrontal_volume",-1.41282964921933
"rh_superiorfrontal_volume",0
"rh_superiorparietal_volume",2.45313535255889
"rh_superiortemporal_volume",0
"rh_supramarginal_volume",-2.0078103342437
"rh_frontalpole_volume",-0.525885229932377
"rh_temporalpole_volume",0
"rh_transversetemporal_volume",0.793593870154279
"rh_insula_volume",0
"Left.Lateral.Ventricle.y",0
"Left.Inf.Lat.Vent.y",0
"Left.Cerebellum.White.Matter.y",-0.289909265367376
"Left.Cerebellum.Cortex.y",-0.4227586353672
"Left.Thalamus.Proper.y",0
"Left.Caudate.y",1.08626655816776
"Left.Putamen.y",0
"Left.Pallidum.y",-1.03300934823538
"X3rd.Ventricle.y",0.224029062856038
"X4th.Ventricle.y",1.36047178121551
"Brain.Stem.y",0
"Left.Hippocampus.y",-0.224941786651548
"Left.Amygdala.y",-0.261482252036752
"CSF.y",0
"Left.Accumbens.area.y",0.55702727312797
"Left.VentralDC.y",0.735907731183729
"Left.vessel.y",-0.564693408941465
"Left.choroid.plexus.y",-1.70985921393653
"Right.Lateral.Ventricle.y",0
"Right.Inf.Lat.Vent.y",-0.440615659760933
"Right.Cerebellum.White.Matter.y",0
"Right.Cerebellum.Cortex.y",0
"Right.Thalamus.Proper.y",0
"Right.Caudate.y",0.171733422379171
"Right.Putamen.y",0.0426966525212678
"Right.Pallidum.y",-0.816136460057518
"Right.Hippocampus.y",0.0057628660040491
"Right.Amygdala.y",0
"Right.Accumbens.area.y",-1.42096960571868
"Right.VentralDC.y",0
"Right.vessel.y",-0.442705167250293
"Right.choroid.plexus.y",0.874015014360933
"X5th.Ventricle.y",-0.275043904938484
"WM.hypointensities.y",0.540922182085147
"non.WM.hypointensities.y",0.240908213510231
"Optic.Chiasm.y",0
"CC_Posterior.y",-0.927942158421233
"CC_Mid_Posterior.y",0.128906227048594
"CC_Central.y",0
"CC_Mid_Anterior.y",0
"CC_Anterior.y",1.05055776215766
"BrainSegVol",0
"BrainSegVolNotVent",0
"BrainSegVolNotVentSurf",0
"lhCortexVol",0
"rhCortexVol",0
"CortexVol",0
"lhCorticalWhiteMatterVol",0
"rhCorticalWhiteMatterVol",1.81209072671203
"CorticalWhiteMatterVol",0
"SubCortGrayVol",0
"TotalGrayVol",0
"SupraTentorialVol",0
"SupraTentorialVolNotVent",0
"SupraTentorialVolNotVentVox",0
"MaskVol",0
"BrainSegVol.to.eTIV",0
"MaskVol.to.eTIV",0.146451057102621
"lhSurfaceHoles",-0.400194838362146
"rhSurfaceHoles",1.32334247563988
"SurfaceHoles",0
"EstimatedTotalIntraCranialVol",0
